Exchange,Ticker,Start,End,score
TO,TD,"('TO', 'TD', Timestamp('2021-12-01 00:00:00'))","('TO', 'TD', Timestamp('2022-02-01 00:00:00'))",0.0
TO,XFN,"('TO', 'XFN', Timestamp('2021-12-01 00:00:00'))","('TO', 'XFN', Timestamp('2022-02-01 00:00:00'))",0.0053625950918722
TO,RBNK,"('TO', 'RBNK', Timestamp('2021-12-01 00:00:00'))","('TO', 'RBNK', Timestamp('2022-02-01 00:00:00'))",0.0060585932107705
TO,HCA,"('TO', 'HCA', Timestamp('2021-12-01 00:00:00'))","('TO', 'HCA', Timestamp('2022-02-01 00:00:00'))",0.0061211005039479
TO,CIC,"('TO', 'CIC', Timestamp('2021-12-01 00:00:00'))","('TO', 'CIC', Timestamp('2022-02-01 00:00:00'))",0.0065078030184433
TO,XDIV,"('TO', 'XDIV', Timestamp('2021-12-01 00:00:00'))","('TO', 'XDIV', Timestamp('2022-02-01 00:00:00'))",0.0065517765243054
TO,XEI,"('TO', 'XEI', Timestamp('2021-12-01 00:00:00'))","('TO', 'XEI', Timestamp('2022-02-01 00:00:00'))",0.0066248308853987
TO,VDY,"('TO', 'VDY', Timestamp('2021-12-01 00:00:00'))","('TO', 'VDY', Timestamp('2022-02-01 00:00:00'))",0.0066545194957859
TO,FIE,"('TO', 'FIE', Timestamp('2021-12-01 00:00:00'))","('TO', 'FIE', Timestamp('2022-02-01 00:00:00'))",0.0067364977735263
TO,XCV,"('TO', 'XCV', Timestamp('2021-12-01 00:00:00'))","('TO', 'XCV', Timestamp('2022-02-01 00:00:00'))",0.0067838970639811
TO,BNS,"('TO', 'BNS', Timestamp('2021-12-01 00:00:00'))","('TO', 'BNS', Timestamp('2022-02-01 00:00:00'))",0.0068089649862038
NASDAQ,GYRO,"('NASDAQ', 'GYRO', Timestamp('2016-11-28 00:00:00'))","('NASDAQ', 'GYRO', Timestamp('2017-01-27 00:00:00'))",0.0068552575715355
TO,ZWB,"('TO', 'ZWB', Timestamp('2021-12-01 00:00:00'))","('TO', 'ZWB', Timestamp('2022-02-01 00:00:00'))",0.006868053621221
TO,ZEB,"('TO', 'ZEB', Timestamp('2021-12-01 00:00:00'))","('TO', 'ZEB', Timestamp('2022-02-01 00:00:00'))",0.0068865770570773
TO,XDV,"('TO', 'XDV', Timestamp('2021-12-01 00:00:00'))","('TO', 'XDV', Timestamp('2022-02-01 00:00:00'))",0.0069317884049545
NASDAQ,EBMT,"('NASDAQ', 'EBMT', Timestamp('2012-05-15 00:00:00'))","('NASDAQ', 'EBMT', Timestamp('2012-07-13 00:00:00'))",0.0070109111129931
NYSE,BRO,"('NYSE', 'BRO', Timestamp('2017-04-19 00:00:00'))","('NYSE', 'BRO', Timestamp('2017-06-16 00:00:00'))",0.0070138654744133
TO,CEW,"('TO', 'CEW', Timestamp('2021-12-01 00:00:00'))","('TO', 'CEW', Timestamp('2022-02-01 00:00:00'))",0.0070919670340907
NYSE,WRB,"('NYSE', 'WRB', Timestamp('2018-07-25 00:00:00'))","('NYSE', 'WRB', Timestamp('2018-09-21 00:00:00'))",0.0070940960069144
NYSE,PUK,"('NYSE', 'PUK', Timestamp('2017-04-19 00:00:00'))","('NYSE', 'PUK', Timestamp('2017-06-16 00:00:00'))",0.0070951328082986
NASDAQ,PRSR,"('NASDAQ', 'PRSR', Timestamp('2021-03-18 00:00:00'))","('NASDAQ', 'PRSR', Timestamp('2021-05-17 00:00:00'))",0.0071171040890155
NYSE,VBF,"('NYSE', 'VBF', Timestamp('2013-04-08 00:00:00'))","('NYSE', 'VBF', Timestamp('2013-06-05 00:00:00'))",0.0071317300536151
NYSE,DTF,"('NYSE', 'DTF', Timestamp('2019-09-25 00:00:00'))","('NYSE', 'DTF', Timestamp('2019-11-21 00:00:00'))",0.0071363305622555
TO,FQC,"('TO', 'FQC', Timestamp('2015-08-21 00:00:00'))","('TO', 'FQC', Timestamp('2015-10-21 00:00:00'))",0.0071415855356277
NYSE,ARDC,"('NYSE', 'ARDC', Timestamp('2020-07-07 00:00:00'))","('NYSE', 'ARDC', Timestamp('2020-09-02 00:00:00'))",0.0071944866119917
AMEX,EIM,"('AMEX', 'EIM', Timestamp('2020-01-02 00:00:00'))","('AMEX', 'EIM', Timestamp('2020-03-03 00:00:00'))",0.007202321790618
NYSE,PYT,"('NYSE', 'PYT', Timestamp('2013-11-15 00:00:00'))","('NYSE', 'PYT', Timestamp('2014-01-16 00:00:00'))",0.0072041947727888
TO,TQCD,"('TO', 'TQCD', Timestamp('2021-12-01 00:00:00'))","('TO', 'TQCD', Timestamp('2022-02-01 00:00:00'))",0.0072074710691138
NYSE,PFL,"('NYSE', 'PFL', Timestamp('2012-05-30 00:00:00'))","('NYSE', 'PFL', Timestamp('2012-07-27 00:00:00'))",0.0072090225715832
TO,TMEC,"('TO', 'TMEC', Timestamp('2021-12-01 00:00:00'))","('TO', 'TMEC', Timestamp('2022-02-01 00:00:00'))",0.0072223746347078
NASDAQ,PEBK,"('NASDAQ', 'PEBK', Timestamp('2021-12-13 00:00:00'))","('NASDAQ', 'PEBK', Timestamp('2022-02-10 00:00:00'))",0.0072319044637942
TO,PXC,"('TO', 'PXC', Timestamp('2021-12-01 00:00:00'))","('TO', 'PXC', Timestamp('2022-02-01 00:00:00'))",0.0072559232359129
NYSE,SBI,"('NYSE', 'SBI', Timestamp('2021-04-28 00:00:00'))","('NYSE', 'SBI', Timestamp('2021-06-25 00:00:00'))",0.0072591957352929
NYSE,MIY,"('NYSE', 'MIY', Timestamp('2019-03-01 00:00:00'))","('NYSE', 'MIY', Timestamp('2019-04-30 00:00:00'))",0.0072697482984467
NYSE,EFC,"('NYSE', 'EFC', Timestamp('2017-09-07 00:00:00'))","('NYSE', 'EFC', Timestamp('2017-11-03 00:00:00'))",0.0072748922221378
NASDAQ,GOBI,"('NASDAQ', 'GOBI', Timestamp('2021-08-24 00:00:00'))","('NASDAQ', 'GOBI', Timestamp('2021-10-21 00:00:00'))",0.0072762960444696
NASDAQ,HPK,"('NASDAQ', 'HPK', Timestamp('2019-12-11 00:00:00'))","('NASDAQ', 'HPK', Timestamp('2020-02-11 00:00:00'))",0.0072896553144331
NYSE,PIM,"('NYSE', 'PIM', Timestamp('2016-07-27 00:00:00'))","('NYSE', 'PIM', Timestamp('2016-09-23 00:00:00'))",0.0072922648061596
TO,ZDV,"('TO', 'ZDV', Timestamp('2021-12-01 00:00:00'))","('TO', 'ZDV', Timestamp('2022-02-01 00:00:00'))",0.0072968610098881
NYSE,TRP,"('NYSE', 'TRP', Timestamp('2011-03-18 00:00:00'))","('NYSE', 'TRP', Timestamp('2011-05-17 00:00:00'))",0.0073052732763551
TO,VIDY,"('TO', 'VIDY', Timestamp('2021-12-01 00:00:00'))","('TO', 'VIDY', Timestamp('2022-02-01 00:00:00'))",0.0073174047163553
NASDAQ,RILYL,"('NASDAQ', 'RILYL', Timestamp('2021-09-03 00:00:00'))","('NASDAQ', 'RILYL', Timestamp('2021-11-02 00:00:00'))",0.0073201456139417
NYSE,AVK,"('NYSE', 'AVK', Timestamp('2012-08-22 00:00:00'))","('NYSE', 'AVK', Timestamp('2012-10-19 00:00:00'))",0.0073228201901138
TO,XDUH,"('TO', 'XDUH', Timestamp('2020-07-21 00:00:00'))","('TO', 'XDUH', Timestamp('2020-09-18 00:00:00'))",0.0073305665299193
NYSE,TR,"('NYSE', 'TR', Timestamp('2009-09-25 00:00:00'))","('NYSE', 'TR', Timestamp('2009-11-23 00:00:00'))",0.0073340176276807
TO,CXI,"('TO', 'CXI', Timestamp('2018-07-27 00:00:00'))","('TO', 'CXI', Timestamp('2018-09-26 00:00:00'))",0.0073378783284189
NYSE,JEQ,"('NYSE', 'JEQ', Timestamp('2016-12-01 00:00:00'))","('NYSE', 'JEQ', Timestamp('2017-02-01 00:00:00'))",0.007338805166998
NYSE,THW,"('NYSE', 'THW', Timestamp('2021-06-18 00:00:00'))","('NYSE', 'THW', Timestamp('2021-08-17 00:00:00'))",0.0073507388569632
